"","Weight","Conference","ELO","ActualFinish","ExpectedFinish"
"3",125,"ACC",1380.84,"cons 24","E[cons 16]"
"4",125,"ACC",1404.51,"cons 12","E[cons 12]"
"5",125,"ACC",1348.79,"cons 24","E[cons 24]"
"6",125,"Big 12",1312.73,"cons 32","E[NQ]"
"8",125,"Big 12",1373.79,"cons 24","E[cons 16]"
"12",125,"Big 12",1398.16,"cons 12","E[NQ]"
"13",125,"Big 12",1378.2,"AA","E[cons 16]"
"14",125,"Big 12",1347.97,"cons 32","E[cons 24]"
"15",125,"Big 12",1416.54,"cons 12","E[AA]"
"16",125,"Big 12",1338.14,"cons 32","E[cons 32]"
"19",125,"Big Ten",1373.86,"cons 33","E[cons 16]"
"22",125,"Big Ten",1539.3,"AA","E[AA]"
"23",125,"Big Ten",1451.39,"AA","E[AA]"
"25",125,"Big Ten",1415.5,"cons 16","E[AA]"
"26",125,"Big Ten",1334.17,"cons 24","E[cons 32]"
"27",125,"Big Ten",1363.7,"cons 16","E[cons 24]"
"28",125,"Big Ten",1418.76,"AA","E[AA]"
"29",125,"Big Ten",1486.05,"AA","E[NQ]"
"30",125,"Big Ten",1502.95,"AA","E[AA]"
"31",125,"Big Ten",1373.44,"cons 12","E[cons 24]"
"36",125,"EIWA",1476.73,"AA","E[AA]"
"37",125,"EIWA",1309.86,"cons 32","E[NQ]"
"48",125,"EWL",1300.39,"cons 32","E[NQ]"
"52",125,"EWL",1405.63,"cons 16","E[cons 12]"
"54",125,"EWL",1327.51,"cons 32","E[cons 32]"
"60",125,"MAC",1341.57,"cons 24","E[cons 24]"
"61",125,"MAC",1387.47,"cons 24","E[cons 12]"
"62",125,"MAC",1339.23,"cons 32","E[cons 32]"
"63",125,"Pac 12",1421.76,"AA","E[AA]"
"65",125,"Pac 12",1322.52,"cons 24","E[cons 32]"
"66",125,"Pac 12",1389.67,"cons 16","E[cons 12]"
"67",125,"Pac 12",1347.01,"cons 24","E[cons 24]"
"68",125,"SoCon",1314.6,"cons 32","E[NQ]"
"75",133,"ACC",1311.38,"cons 32","E[NQ]"
"76",133,"ACC",1426.82,"cons 24","E[AA]"
"77",133,"ACC",1382.78,"cons 24","E[cons 16]"
"78",133,"ACC",1442.25,"cons 12","E[AA]"
"79",133,"ACC",1363.74,"cons 24","E[cons 24]"
"80",133,"ACC",1399.49,"AA","E[cons 12]"
"81",133,"Big 12",1374.8,"AA","E[cons 24]"
