Weight,Last,First,Conference,Finish,ELO
125,Atkins,Thayer,ACC,NQ,1297.06
125,Bentley, LJ,ACC,NQ,1343.66
125,Fausz,Sean,ACC,cons 24,1380.84
125,Hayes,Louie,ACC,cons 12,1404.51
125,Norstrem,Kyle,ACC,cons 24,1348.79
125,Bianchi,Paul,Big 12,cons 32,1312.73
125,Briggs,Sinjin,Big 12,NQ,
125,Brown,Connor,Big 12,cons 24,1373.79
125,Cannon,Sean,Big 12,NQ,
125,DeCesare,Tony,Big 12,NQ,
125,Foster,Drake,Big 12,NQ,
125,LaMont,Taylor,Big 12,cons 12,1398.16
125,Moisey,Zeke,Big 12,8,1378.2
125,Moody,Christian,Big 12,cons 32,1347.97
125,Piccininni,Nicholas,Big 12,cons 12,1416.54
125,Schwarm,Jacob,Big 12,cons 32,1338.14
125,Williams,Sean,Big 12,NQ,
125,Cray,Brandon,Big Ten,NQ,
125,Foley,RayVon,Big Ten,cons 33,1373.86
125,Jimenez,Johnny,Big Ten,NQ,
125,Kuhn,Carson,Big Ten,NQ,
125,Lee,Spencer,Big Ten,1,1539.3
125,Lizak,Ethan,Big Ten,4,1451.39
125,Maginnis,Mitch,Big Ten,NQ,
125,Mattin,Drew,Big Ten,cons 16,1415.5
125,Oliver,Elijah,Big Ten,cons 24,1334.17
125,Piotrowski,Travis,Big Ten,cons 16,1363.7
125,Rivera,Sebastian,Big Ten,6,1418.76
125,Suriano,Nick,Big Ten,2,1486.05
125,Tomasello,Nathan,Big Ten,3,1502.95
125,Welch,Luke,Big Ten,cons 12,1373.44
125,Barzona,Geo,EIWA,NQ,
125,Baughman, Noah,EIWA,NQ,1345.95
125,Burns,Ryan,EIWA,NQ,
125,Chalifoux,Trey,EIWA,NQ,
125,Cruz,Darian,EIWA,5,1476.73
125,Curry,Gage,EIWA,cons 32,1309.86
125,DeVincenzo,Matteo,EIWA,NQ,
125,Fuentes, Zack,EIWA,NQ,1333.51
125,Garcia,Edgar,EIWA,NQ,
125,Good,Spencer,EIWA,NQ,
125,Hellickson, Nolan,EIWA,NQ,1324.39
125,Kelley,Trey,EIWA,NQ,
125,Kilic,Aslan,EIWA,NQ,
125,Martin,Jacob,EIWA,NQ,
125,Nelson,Joe,EIWA,NQ,
125,Planta,Daniel,EIWA,NQ,
125,Bunduka,Ibrahim,EWL,cons 32,1300.39
125,Girard,Willy,EWL,NQ,
125,Martin,John,EWL,NQ,
125,Park,Gavin,EWL,NQ,
125,Russell,Sean,EWL,cons 16,1405.63
125,Werner, Luke,EWL,NQ,1327.03
125,Wert,Gerald,EWL,cons 32,1327.51
125,Akins,Kyle,MAC,NQ,1354.87
125,Ferri,Jake,MAC,NQ,
