Weight,Last,First,Finish
125,Lee,Spencer,1
125,Mueller,Jack,2
125,Rivera,Sebastian,3
125,Arujau,Vitali,4
125,Piccininni,Nicholas,5
125,Glory,Pat,6
125,Foley,RayVon,7
125,Bresser,Ronnie,8
125,Fausz,Sean,cons 12
125,Fleetwood,Brent,cons 12
125,McGee,Michael,cons 12
125,Russell,Sean,cons 12
125,Mackall,Alex,cons 16
125,Mattin,Drew,cons 16
125,Schroder,Devin,cons 16
125,Schwarm,Jay,cons 16
125,Ferrante,Carmen,cons 24
125,Heinselman,Malik,cons 24
125,Hildebrandt,Drew,cons 24
125,Meink,Korbin,cons 24
125,Oliver,Elijah,cons 24
125,Piotrowski,Travis,cons 24
125,Townsell,Gabe,cons 24
125,Verner,Cole,cons 24
125,Allen,Alonzo,cons 32
125,Chalifoux,Trey,cons 32
125,Curry,Gage,cons 32
125,Moisey,Zeke,cons 32
125,Montoya,Rico,cons 32
125,Moody,Christian,cons 32
125,Punke,Dack,cons 32
125,West,Bryce,cons 32
125,Girard,Willy,cons 33
133,Suriano,Nick,1
133,Fix,Daton,2
133,Micic,Stevan,3
133,Pletcher,Luke,4
133,DeSanto,Austin,5
133,Erneste,John,6
133,Lizak,Ethan,7
133,Bravo-Young,Roman,8
133,Gomez,Austin,cons 12
133,Pengilly,Mason,cons 12
133,Phillippi,Micky,cons 12
133,Wilson,Tariq,cons 12
133,Bridges,Montorie,cons 16
133,Fehlman,DJ,cons 16
133,Myers,Korbin,cons 16
133,Thornton,Ben,cons 16
133,Gonser,Noah,cons 24
133,Joint,Gary,cons 24
133,Nickell,Sean,cons 24
133,Russell,Codi,cons 24
133,Schmitt,Matthew,cons 24
133,Sykora,Cam,cons 24
133,Terao,Josh,cons 24
133,Tucker,Charles,cons 24
133,Cefolo,Anthony,cons 32
133,Guillen,Mario,cons 32
133,Paetzell,Brandon,cons 32
133,Rooney,Tim,cons 32
133,Spann,Derek,cons 32
133,Trampe,Zack,cons 32
133,Turner,Devan,cons 32
133,Wayne-Harding,Gary,cons 32
133,Duncan,Dylan,cons 33
141,Diakomihalis,Yianni,1
141,McKenna,Joey,2
141,Eierman,Jaydin,3
141,Demas,Dom,4
141,Lee,Nick,5
141,McKee,Mitch,6
141,Shoop,Kyle,7
141,Red,Chad,8
141,Brock,Kaid,cons 12
141,Findlay,Matt,cons 12
141,Moran,Tristan,cons 12
141,Murin,Max,cons 12
141,Carr,Michael,cons 16
141,Morris,Jamel,cons 16
141,Storr,Kanen,cons 16
141,Turner,Sam,cons 16
141,Alber,Josh,cons 24
141,Gil,Nicholas,cons 24
141,Headlee,Austin,cons 24
141,Kelly,Cameron,cons 24
141,Moore,Mitch,cons 24
141,Parker,Ian,cons 24
141,Perry,Sa`Derian,cons 24
141,Willits,Grant,cons 24
141,Debien,Chris,cons 32
141,Finesilver,Josh,cons 32
141,Krivus,Sam,cons 32
141,Lantry,Bryan,cons 32
141,Limmex,Nate,cons 32
141,Lipari,Pete,cons 32
141,Shie,Corey,cons 32
141,Sparacio,Anthony,cons 32
141,Sandoval,Christopher,cons 33
149,Ashnault,Anthony,1
149,Jordan,Micah,2
149,O`Connor,Austin,3
149,Finesilver,Mitch,4
149,Kolodzik,Matthew,5
149,Mauller,Brock,6
149,Degen,Jarrett,7
149,Lugo,Pat,8
149,Artalona,Anthony,cons 12
149,Prince,Jared,cons 12
149,Thomsen,Max,cons 12
