Weight,Rank,Name,Year,School,State,College,Previous
106,1,Cade Olivas,Fr.,St. John Bosco,CA,,1
106,2,Roman Bravo-Young,Fr.,Sunnyside,AZ,,2
106,3,Gavin Teasdale,Fr.,Jefferson-Morgan,PA,,3
106,4,Drew Mattin,So.,Delta,OH,,5
106,5,Real Woods,Fr.,Montini Catholic,IL,,6
106,6,Jacori Teemer,Fr.,Long Beach,NY,,7
106,7,Kade Evans,Jr.,Davis,UT,,10
106,8,Jaxon Cole,So.,North Summit,UT,,11
106,9,Josh Humphreys,Fr.,Huntington,WV,,13
106,10,Gerard Angelo,Fr.,Hanover Park,NJ,,NR
106,11,Jake Silverstein,Fr.,Hauppauge,NY,,17
106,12,Michael McGee ,So.,Plainfield (East),IL,,NR
106,13,Patrick Glory,Fr.,Delbarton,NJ,,20
106,14,Thomas Cox,Jr.,Deer Park,NY,,18
106,15,Brody Teske,Fr.,Fort Dodge,IA,,NR
106,16,Louis Hayes,Jr.,Carl Sandbury,IL,,15
106,17,John Tropea,Jr.,St. Joseph Montvale,NJ,,9
106,18,Aaron Burkett,Jr.,Chesnut Ridge,PA,,NR
106,19,Josh Venia,Jr.,Toledo CC,OH,,NR
106,20,Liam Cronin,Jr.,Servite,CA,,NR
113,1,Justin Mejia,So.,Clovis,CA,Iowa '17,2
113,2,Danny Vega,Jr.,Ironwood,AZ,,3
113,3,Austin Gomez,So.,Glenbard North,IL,,4
113,4,Jason Renteria,So.,Oak Park-River Forest,IL,Iowa '17,5
113,5,Devin Brown,Sr.,Franklin Regional,PA,West Virginia,6
113,6,Jabari Moody,Sr.,Rich Central,IL,Virginia,1
113,7,Ian Timmins,So.,Wooster,NV,,7
113,8,Garrett Pepple,Sr.,East Noble,IN,Indiana,8
113,9,Noah Baughman,Jr.,Wadsworth,OH,,10
113,10,Mitch Moore,Fr.,St. Paris Graham,OH,,12
113,11,Brandon Courtney,So.,Desert Eagle,AZ,,13
113,12,Jaden Mattox,Fr.,Central Crossing,OH,,14
113,13,Tommy Hoskins,Fr.,Dayton Christian ,OH,,15
113,14,Paul Bianchi ,Jr.,Two Rivers,WI,,16
113,15,Zach Sherman,So.,Blair Academy,NJ,,11
113,16,Jack Wagner,Jr.,Bettendorf,IA,,18
113,17,Joey Prata,Jr.,St. Christopher's,VA,,HM
113,18,Gage Curry,Jr.,North Hills,PA,,NR
113,19,David Campbell,Jr.,Mission Oaks,CA,,HM
113,20,Alan Hart,So., Edward,OH,,17
120,1,Spencer Lee,So.,Franklin Regional,PA,,1
120,2,Nick Suriano,Jr.,Bergen Catholic,NJ,,2
